NumberOfPixels,BoundingBoxTopLeftX,BoundingBoxTopLeftY,BoundingBoxBottomRightX,BoundingBoxBottomRightY,PhysicalSize,NumberOfPixelsOnBorder,FeretDiameter,PrincipalMoments0,PrincipalMoments1,Elongation,Perimeter,Roundness,EquivalentSphericalRadius,EquivalentSphericalPerimeter,EquivalentEllipsoidDiameter0,EquivalentEllipsoidDiameter1,Flatness,MeanR,MeanG,MeanB,StdR,StdG,StdB,Polygon
935,59,0,114,25,935,16,0,30.5931,193.156,2.51271,132.942,0.815358,17.2517,108.395,21.7666,54.693,2.51271,111.826,85.9198,156.398,27.122,21.7781,17.8481,[60:2:62:12:81:23:100:25:114:12:111:8:106:9:81:1]
161,266,0,296,7,161,29,0,3.11932,57.85,4.30647,63.4921,0.708432,7.15876,44.9798,6.89934,29.7118,4.30647,135.727,85.3043,163.764,19.6507,15.6907,14.8322,[267:1:282:7:296:4:295:1]
200,323,0,350,13,200,21,0,6.85683,46.114,2.59331,63.6268,0.787916,7.97885,50.1326,9.90929,25.6979,2.59331,78.69,51.665,122.62,32.4876,27.252,29.448,[324:1:343:13:350:10:344:1]
167,451,0,474,9,167,23,0,6.03041,32.7634,2.33088,53.4561,0.85697,7.29094,45.8103,9.55109,22.2625,2.33088,86.2874,58.497,132.198,25.995,19.8771,18.6613,[452:1:458:9:468:9:474:2]
88,382,12,397,20,88,0,0,3.02324,16.4038,2.32936,37.5018,0.886736,5.29257,33.2542,6.93551,16.1553,2.32936,146.773,89.8977,167.057,11.5579,10.3364,11.1451,[383:14:386:19:397:20:389:13]
800,443,13,496,60,800,0,0,18.0036,326.343,4.25753,161.328,0.621499,15.9577,100.265,15.4675,65.8535,4.25753,122.146,84.9338,158.054,30.0599,20.9467,18.8761,[444:16:446:24:462:45:475:42:479:58:496:58:478:33:468:33:461:28:462:23:449:14]
336,0,21,32,41,336,14,0,10.0596,98.8111,3.1341,86.6103,0.750248,10.3418,64.9792,11.6834,36.6168,3.1341,126.545,100.604,165.946,30.4352,20.8317,15.2522,[1:22:1:35:16:36:23:41:32:38:29:31:18:32:8:23]
667,246,32,282,63,667,0,0,25.3732,112.539,2.10603,102.604,0.892284,14.571,91.552,20.081,42.2912,2.10603,100.879,77.979,145.094,32.8186,28.1665,29.1462,[253:33:247:40:249:47:264:59:279:63:282:52:259:33]
557,330,33,390,57,557,0,0,7.54542,289.43,6.19341,135.949,0.615399,13.3154,83.6628,10.7008,66.2747,6.19341,126.075,94.675,163.348,33.0023,26.0055,25.0994,[331:36:331:40:338:45:383:57:390:55:386:50:347:38:343:34]
976,0,46,38,83,976,17,0,63.6487,117.974,1.36144,141.312,0.783702,17.6258,110.746,30.2121,41.1319,1.36144,115.171,80.7859,152.201,37.4721,29.0527,27.426,[35:53:20:47:5:50:4:58:13:67:10:70:1:67:1:83:18:83:26:73:32:71:38:62]
300,351,52,380,72,300,0,0,11.1063,61.8944,2.3607,76.249,0.805251,9.77205,61.3996,12.7202,30.0287,2.3607,143.27,107.24,174.357,21.3868,19.8263,19.3538,[352:54:365:71:380:68:375:60:358:53]
112,59,58,74,68,112,0,0,4.94854,16.2548,1.81239,39.6279,0.9467,5.97082,37.5158,8.87029,16.0765,1.81239,154.205,123.491,182.866,11.4682,13.8577,14.9227,[74:61:68:59:60:68:69:68]
493,169,60,203,82,493,0,0,18.9188,84.8663,2.11798,88.4111,0.890269,12.527,78.7097,17.2154,36.4619,2.11798,111.996,81.9696,152.791,23.8459,19.3007,15.5345,[170:64:171:73:176:77:195:82:203:80:199:72:185:61:173:61]
308,397,75,420,94,308,0,0,20.0552,30.7097,1.23744,64.0869,0.970758,9.90149,62.2129,17.802,22.0289,1.23744,126.76,99.5487,166.052,19.4279,18.2451,15.7287,[404:76:398:87:410:94:420:83:415:78]
93,257,82,272,90,93,0,0,3.65878,15.9261,2.08635,38.0571,0.898277,5.44085,34.1859,7.53361,15.7177,2.08635,145.022,105.774,168.613,13.1394,16.469,16.8217,[258:85:260:90:272:88:268:84]
1594,425,84,497,126,1594,0,0,99.8987,263.947,1.62547,203.828,0.694361,22.5252,141.53,35.3354,57.4366,1.62547,117.351,83.8971,155.908,29.7219,23.5372,21.2727,[426:111:427:115:436:120:458:126:464:124:469:109:484:118:497:116:495:109:478:95:472:86:464:85:447:86:452:102]
497,84,102,109,129,497,0,0,35.6245,44.8422,1.12194,81.0567,0.974977,12.5778,79.0284,23.7492,26.6451,1.12194,130.775,94.2515,164.577,28.2787,22.6971,19.8839,[92:103:85:111:85:122:90:127:98:129:109:112:104:106]
1374,33,117,72,166,1374,0,0,83.0004,151.874,1.3527,147.92,0.888322,20.9131,131.401,35.9623,48.6462,1.3527,114.269,81.5611,154.676,32.8251,27.3229,23.838,[62:118:48:120:35:138:35:149:43:166:72:156:66:151:71:138:71:128]
812,177,119,206,155,812,0,0,50.0243,83.6632,1.29323,101.589,0.994346,16.0769,101.014,28.2745,36.5655,1.29323,128.171,91.9544,163.793,26.4489,20.7125,18.3343,[196:120:187:122:178:136:178:146:187:155:195:155:206:141:205:127]
1629,0,123,32,213,1629,90,0,58.9012,424.224,2.68371,204.899,0.698273,22.7712,143.076,27.8002,74.6076,2.68371,106.848,72.7532,148.321,33.6295,27.49,25.9178,[1:124:2:213:22:203:30:190:32:180:20:165:17:156:10:150:9:133]
1931,97,127,138,198,1931,0,0,73.1387,335.193,2.14079,177.838,0.875936,24.7923,155.774,33.889,72.5493,2.14079,125.503,91.2838,161.722,33.7589,26.9133,24.4675,[125:128:121:129:112:141:107:152:107:161:100:170:99:191:107:198:123:194:135:178:133:171:138:147]
1139,272,131,304,176,1139,0,0,61.7003,133.606,1.47153,123.231,0.970835,19.0409,119.637,31.3929,46.1957,1.47153,116.783,85.8586,157.048,36.3574,31.6516,26.7451,[295:132:282:134:277:139:273:151:274:167:283:176:292:175:303:158:304:144:301:136]
1430,222,132,257,193,1430,0,0,63.5751,217.703,1.8505,155.83,0.860243,21.335,134.052,31.3674,58.0454,1.8505,133.569,98.0713,167.707,26.1356,22.2756,18.7971,[241:133:232:134:223:144:223:172:233:180:235:193:243:189:257:174:250:159:248:138]
